product_key,product_name,total_quantity,initial_stock,reorder_point,current_stock,inventory_turnover,days_inventory_outstanding
1,"Bush Birmingham Collection Bookcase, Dark Cherry",9,1626,406.5,1617,0.005535055350553505,65943.33333333334
2,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",10,1959,489.75,1949,0.005104645227156712,71503.5
3,Sauder Inglewood Library Bookcases,14,1360,340.0,1346,0.010294117647058823,35457.142857142855
4,O'Sullivan 2-Shelf Heavy-Duty Bookcases,21,1794,448.5,1773,0.011705685618729096,31181.428571428572
5,"Hon Metal Bookcases, Gray",12,1630,407.5,1618,0.007361963190184049,49579.166666666664
6,O'Sullivan Plantations 2-Door Library in Landvery Oak,22,1595,398.75,1573,0.013793103448275862,26462.5
7,O'Sullivan Living Dimensions 2-Shelf Bookcases,28,1544,386.0,1516,0.018134715025906734,20127.14285714286
8,O'Sullivan 3-Shelf Heavy-Duty Bookcases,22,621,155.25,599,0.03542673107890499,10302.954545454546
9,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",3,966,241.5,963,0.003105590062111801,117530.00000000001
10,"Sauder Mission Library with Doors, Fruitwood Finish",10,1738,434.5,1728,0.005753739930955121,63437.0
11,"Hon Metal Bookcases, Black",30,830,207.5,800,0.03614457831325301,10098.333333333334
12,O'Sullivan Cherrywood Estates Traditional Bookcase,6,1982,495.5,1976,0.0030272452068617556,120571.66666666667
13,Bush Somerset Collection Bookcase,12,587,146.75,575,0.020442930153321975,17854.583333333336
14,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",26,1896,474.0,1870,0.013713080168776372,26616.923076923074
15,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",10,1623,405.75,1613,0.0061614294516327784,59239.5
16,O'Sullivan 4-Shelf Bookcase in Odessa Pine,37,1371,342.75,1334,0.02698760029175784,13524.72972972973
17,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",3,630,157.5,627,0.004761904761904762,76650.0
18,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",1,1832,458.0,1831,0.0005458515283842794,668680.0
19,DMI Eclipse Executive Suite Bookcases,42,1269,317.25,1227,0.03309692671394799,11028.214285714286
20,Sauder Barrister Bookcases,16,843,210.75,827,0.018979833926453145,19230.9375
21,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",35,1937,484.25,1902,0.018069179143004648,20200.142857142855
