order_key,order_id,order_date,date_key,customer_key,location_key,product_key,sales,quantity,discount,profit,lead_time_days
1,CA-2016-152156,2016-11-08,865,144,259,13,261.96,2,0.0,41.9136,3
2,CA-2016-152156,2016-11-08,865,144,259,56,731.94,3,0.0,219.582,3
3,CA-2016-138688,2016-06-12,733,238,64,947,14.62,2,0.0,6.8714,4
4,US-2015-108966,2015-10-11,520,706,150,320,957.5775,5,0.45,-383.031,7
5,US-2015-108966,2015-10-11,520,706,150,1317,22.368,2,0.2,2.5164,7
6,CA-2014-115812,2014-06-09,126,89,64,186,48.86,7,0.0,14.1694,5
7,CA-2014-115812,2014-06-09,126,89,64,563,7.28,4,0.0,1.9656,5
8,CA-2014-115812,2014-06-09,126,89,64,1762,907.152,6,0.2,90.7152,5
9,CA-2014-115812,2014-06-09,126,89,64,795,18.504,3,0.2,5.7825,5
10,CA-2014-115812,2014-06-09,126,89,64,438,114.9,5,0.0,34.47,5
11,CA-2014-115812,2014-06-09,126,89,64,329,1706.184,9,0.2,85.3092,5
12,CA-2014-115812,2014-06-09,126,89,64,1751,911.424,4,0.2,68.3568,5
13,CA-2017-114412,2017-04-15,1000,3,404,1168,15.552,3,0.2,5.4432,5
14,CA-2016-161389,2016-12-05,892,339,587,782,407.976,3,0.2,132.5922,5
15,US-2015-118983,2015-11-22,557,331,515,422,68.81,5,0.8,-123.858,4
16,US-2015-118983,2015-11-22,557,331,515,664,2.544,3,0.8,-3.816,4
17,CA-2014-105893,2014-11-11,259,598,597,1409,665.88,6,0.0,13.3176,7
18,CA-2014-167164,2014-05-13,102,19,558,1295,55.5,2,0.0,9.99,2
19,CA-2014-143336,2014-08-27,188,793,91,568,8.56,2,0.0,2.4824,5
20,CA-2014-143336,2014-08-27,188,793,91,1750,213.48,3,0.2,16.011,5
21,CA-2014-143336,2014-08-27,188,793,91,731,22.72,4,0.2,7.384,5
22,CA-2016-137330,2016-12-09,895,418,344,478,19.46,7,0.0,5.0596,4
23,CA-2016-137330,2016-12-09,895,418,344,409,60.34,7,0.0,15.6884,4
24,US-2017-156909,2017-07-16,1081,685,464,96,71.372,2,0.3,-1.0196,2
25,CA-2015-106320,2015-09-25,508,250,554,320,1044.63,3,0.0,240.2649,5
26,CA-2016-121755,2016-01-16,607,259,64,703,11.648,2,0.2,4.2224,4
27,CA-2016-121755,2016-01-16,607,259,64,1547,90.57,3,0.0,11.7741,4
28,US-2015-150630,2015-09-17,501,739,464,49,3083.43,7,0.5,-1665.0522,4
29,US-2015-150630,2015-09-17,501,739,464,656,9.618,2,0.7,-7.0532,4
30,US-2015-150630,2015-09-17,501,739,464,311,124.2,3,0.2,15.525,4
31,US-2015-150630,2015-09-17,501,739,464,861,3.264,2,0.2,1.1016,4
32,US-2015-150630,2015-09-17,501,739,464,611,86.304,6,0.2,9.7092,4
33,US-2015-150630,2015-09-17,501,739,464,696,6.858,6,0.7,-5.715,4
34,US-2015-150630,2015-09-17,501,739,464,527,15.76,2,0.2,3.546,4
35,CA-2017-107727,2017-10-19,1167,483,522,1035,29.472,3,0.2,9.9468,4
36,CA-2016-117590,2016-12-08,894,301,540,1862,1097.544,7,0.2,123.4737,2
