product_key,product_id,category,sub_category,product_name,product_price,rating_rate,rating_count
1,FUR-BO-10000112,Furniture,Bookcases,"Bush Birmingham Collection Bookcase, Dark Cherry",9.99,3.0,400
2,FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",12.99,3.6,145
3,FUR-BO-10000362,Furniture,Bookcases,Sauder Inglewood Library Bookcases,56.99,2.6,235
4,FUR-BO-10000468,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,109.0,4.8,319
5,FUR-BO-10000711,Furniture,Bookcases,"Hon Metal Bookcases, Gray",10.99,1.9,100
6,FUR-BO-10000780,Furniture,Bookcases,O'Sullivan Plantations 2-Door Library in Landvery Oak,9.99,3.0,400
7,FUR-BO-10001337,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,7.95,4.5,146
8,FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,109.0,4.8,319
9,FUR-BO-10001567,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",109.0,4.8,319
10,FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",15.99,2.1,430
11,FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",10.99,1.9,100
12,FUR-BO-10001619,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,55.99,4.7,500
13,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,22.3,4.1,259
14,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",114.0,4.8,400
15,FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",168.0,3.9,70
16,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,22.3,4.1,259
17,FUR-BO-10002202,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",109.95,3.9,120
